"ID" "y" "MEDIA"
"1" 10 0.6416 1.471
"2" 6 0.7644 1.529
"3" 70 0.858 1.906
"4" 69 0.6695 2.161
"5" 62 0.8455 1.73
"6" 61 0.7861 1.724
"7" 63 0.4268 1.249
"8" 66 0.7242 1.444
"9" 13 0.8743 2.207
"10" 14 0.7521 3.391
"11" 40 0.8856 2.512
"12" 2 0.6303 1.639
"13" 8 0.7112 1.412
"14" 57 0.8878 1.873
"15" 68 0.814 2.275
"16" 55 0.8634 2.592
"17" 60 0.8156 2.066
"18" 72 0.7083 3.051
"19" 52 0.5819 1.533
"20" 51 0.6096 0.76
"21" 50 0.349 0.526
"22" 71 0.7769 1.526
"23" 59 0.6749 1.14
"24" 64 0.3762 0.508
"25" 67 0.1857 0.904
"26" 12 0.4311 0.818
"27" 33 0.765 1.141
"28" 39 0.896 1.615
"29" 41 0.7111 1.261
"30" 38 0.6685 2.126
"31" 28 0.6383 1.377
"32" 3 0.4337 0.744
"33" 58 0.8283 1.671
"34" 56 0.696 0.952
"35" 54 0.8423 1.43
"36" 49 0.5879 0.672
"37" 44 0.4433 0.631
"38" 65 0.5534 0.873
"39" 7 0.537 0.788
"40" 9 0.4494 0.536
"41" 17 0.6162 0.689
"42" 35 0.3869 0.552
"43" 34 0.4125 0.985
"44" 37 0.4995 0.806
"45" 36 0.5451 1.964
"46" 32 0.5481 1.005
"47" 31 0.5598 1.456
"48" 29 0.4322 0.772
"49" 1 0.6442 0.554
"50" 74 0.4389 0.618
"51" 73 0.4845 0.424
"52" 75 0.6291 0.656
"53" 76 0.7514 0.8
"54" 53 0.5431 0.601
"55" 48 0.5762 0.654
"56" 45 0.6179 0.705
"57" 11 0.5443 0.622
"58" 15 0.6052 0.647
"59" 26 0.4072 0.846
"60" 23 0.4683 0.799
"61" 24 0.5754 0.752
"62" 43 0.4448 0.441
"63" 30 0.4992 0.871
"64" 47 0.5925 0.509
"65" 5 0.4518 0.395
"66" 16 0.4585 0.468
"67" 19 0.465 0.271
"68" 25 0.4425 0.41
"69" 27 0.375 0.28
"70" 20 0.2793 0.348
"71" 21 0.4326 0.374
"72" 46 0.3624 0.36
"73" 4 0.1944 0.463
"74" 22 0.3652 0.306
"75" 18 0.4408 0.423
